"","pres","longitude","latitude","optional"
"374",1,1107763.92197802,-4908975.21688697,TRUE
"375",1,1120883.53706621,-4735033.82776082,TRUE
"376",1,1109602.86477663,-4902668.19404575,TRUE
"377",1,1157418.89745152,-4889220.41399863,TRUE
"378",1,1080539.77886687,-4912734.45160055,TRUE
"379",1,1060704.50179983,-4852686.3870963,TRUE
"380",1,1149559.56623458,-4909735.89375527,TRUE
"381",1,1186733.00333198,-4812409.08657129,TRUE
"382",1,1036062.41951683,-4753749.97740901,TRUE
"383",1,1151429.77816681,-4797279.94456572,TRUE
"384",1,1141020.15455178,-4874550.81523626,TRUE
"385",1,1146518.79448582,-4878981.44546081,TRUE
"386",1,1125396.45700901,-4884836.67013173,TRUE
"387",1,1160487.65076528,-4893664.8438473,TRUE
"388",1,1105063.88445711,-4892473.45161426,TRUE
"389",1,1114971.95749486,-4718076.24693452,TRUE
"390",1,1153448.90980776,-4791778.63152588,TRUE
"391",1,1068645.64039621,-4710178.7561196,TRUE
"392",1,1029641.99967915,-4786772.63869565,TRUE
"393",1,1125298.05017115,-4868957.58876577,TRUE
"394",1,1130963.86815343,-4752924.85718545,TRUE
"395",1,1156654.28734149,-4880098.68869964,TRUE
"396",1,1093494.51914491,-4889891.56051818,TRUE
"397",1,1214715.40213258,-4729483.73447675,TRUE
"398",1,1111112.66128819,-4905100.57745867,TRUE
"399",1,1164679.82215895,-4738688.11426594,TRUE
"400",1,1119139.56108002,-4869207.49580687,TRUE
"401",1,1110174.95744429,-4800905.16861703,TRUE
"402",1,1102777.92662419,-4914908.35130556,TRUE
"403",1,1138539.51194908,-4764291.53127947,TRUE
"404",1,1036733.20268293,-4719221.54206984,TRUE
"405",1,1134346.31620433,-4758370.10758954,TRUE
"406",1,1155061.44493418,-4879783.18755714,TRUE
"407",1,1089154.33042214,-4903502.73829777,TRUE
"408",1,1211760.29002006,-4759328.1447357,TRUE
"409",1,1136881.99975378,-4871535.72750025,TRUE
"410",1,1096184.18849715,-4794767.7739408,TRUE
"411",1,1186054.15770781,-4812863.55177794,TRUE
"412",1,1210403.26715828,-4766478.11550773,TRUE
"413",1,1125671.95071671,-4880226.55047705,TRUE
"414",1,1095483.59610923,-4794540.41232218,TRUE
"415",1,1073216.861809,-4910396.23274238,TRUE
"416",1,1141042.54889456,-4866827.74396055,TRUE
"417",1,1136684.48512884,-4863239.41417816,TRUE
"418",1,1131453.01555285,-4877273.78982571,TRUE
"419",1,1147465.66617188,-4768262.99310772,TRUE
"420",1,1049251.18852692,-4810259.90756491,TRUE
"421",1,1115849.4535134,-4715617.72487534,TRUE
"422",1,1181008.39412662,-4861845.64268665,TRUE
"423",1,1131375.78148391,-4758921.09755866,TRUE
"424",1,1132224.94347349,-4845601.49749676,TRUE
"425",1,1131281.06282197,-4865772.52964293,TRUE
"426",1,1106798.52065269,-4748721.42296483,TRUE
"427",1,1116364.0305297,-4887454.25921767,TRUE
"428",1,1105381.5401998,-4872340.24728771,TRUE
"429",1,1131281.06282197,-4865772.52964293,TRUE
"430",1,1098410.44884855,-4869940.35725133,TRUE
"431",1,1088259.03714786,-4872711.37624085,TRUE
"432",1,1099993.45398596,-4726693.49418107,TRUE
"433",1,1139620.36139501,-4874281.61864222,TRUE
"434",1,1134681.54750882,-4860400.69088498,TRUE
"435",1,1033318.11449161,-4788821.35812826,TRUE
"436",1,1150388.87157691,-4871673.33118445,TRUE
"437",1,1086595.50373972,-4778996.02461059,TRUE
"438",1,1137064.06100265,-4864483.47252269,TRUE
"439",1,1088050.75677093,-4792483.74407447,TRUE
"440",1,1175366.54537196,-4824723.69096568,TRUE
"441",1,1127584.79811695,-4726354.17850376,TRUE
"442",1,1113114.13441536,-4714701.4323042,TRUE
"443",1,1126692.27664336,-4869106.28449013,TRUE
"444",1,1125298.05017115,-4868957.58876577,TRUE
"445",1,1084760.54730823,-4891058.38310038,TRUE
"446",1,1146242.29050445,-4879099.19436363,TRUE
"447",1,1115692.09774124,-4717121.80267661,TRUE
"448",1,1137467.6386524,-4860221.59953211,TRUE
"449",1,1049475.20306269,-4808895.54666811,TRUE
"450",1,1078079.40700295,-4862098.54794386,TRUE
"451",1,1211082.44220473,-4754352.46090819,TRUE
"452",1,1088455.81417072,-4870818.23199845,TRUE
"453",1,1148725.38799102,-4835773.8742761,TRUE
"454",1,1111027.03609815,-4842752.85846856,TRUE
"455",1,1107919.72912586,-4910984.46275964,TRUE
"456",1,1174511.84046235,-4794094.34287453,TRUE
"457",1,1093992.95256495,-4844624.99648928,TRUE
"458",1,1166757.40560131,-4825678.47202671,TRUE
"459",1,1145547.63904657,-4732071.29109716,TRUE
"460",1,1116711.08530228,-4886843.43592985,TRUE
"461",1,1105763.21749224,-4907097.26268432,TRUE
