lat,lon,pres
-41.49851782,145.6680262,1
-41.4228231,145.8656631,1
-42.78768928,147.4024039,1
-42.04220734,146.6642458,1
-41.42301071,147.0037338,1
-41.63676937,147.7457568,1
-42.96037513,147.0712598,1
-42.11629478,146.757,1
-42.07502661,148.1757716,1
-42.29072378,147.8638052,1
-42.11897845,146.7485217,1
-42.29601631,147.8784347,1
-41.46354383,146.9857741,1
-41.47499567,147.8253406,1
-42.94829768,147.8670225,1
-41.58333333,147.1166667,1
-42.83992964,147.4367492,1
-41.45443309,147.8035287,1
-42.11631528,146.1787767,1
-42.64849655,148.0346728,1
-43.00962216,147.0743107,1
-42.71110754,147.3784015,1
-41.54543245,147.4749382,1
-42.83,147,1
-42.76400126,147.7982418,1
-42.11809861,146.7582029,1
-41.9343464,147.249835,1
-42.74850129,147.4013561,1
-41.56798933,147.4655083,1
-42.76607196,147.6075999,1
-42.23182512,147.6679995,1
-42.75390933,147.6881328,1
-42.81516601,147.801346,1
-41.43269037,147.8212138,1
-41.96516939,147.1013483,1
-42.0358814,146.6570302,1
-41.5113462,147.9024954,1
-42.83183484,147.6680132,1
-43.21253538,146.9878365,1
-41.53184282,146.4680182,1
-42.06516595,146.8846773,1
-42.20998016,147.2339578,1
-42.566667,147.866667,1
-42.97146808,147.2061657,1
-41.55628015,147.4654243,1
-41.43269037,147.8212138,1
-41.62312421,148.2095278,1
-43.01849178,147.9178595,1
-42.75112633,147.7015434,1
-42.7720368,147.8081238,1
-42.52457434,147.4433242,1
-41.52652954,146.8754865,1
-42.62898707,147.0501481,1
-43.16573392,147.4478069,1
-42.99359845,146.835764,1
-42.86719721,147.3196721,1
-41.59976427,146.7124004,1
-42.83350369,147.2627834,1
-42.33183694,146.8346927,1
-42.66516759,147.168018,1
-41.76666,147.35,1
-42.49850196,147.3346796,1
-42.5055409,147.4736185,1
-41.5484963,147.5679932,1
-41.57680455,147.0442277,1
-42.61516348,147.6346741,1
-42.68630224,146.7242736,1
-42.9923572,147.3240001,1
-42.33182571,148.0013308,1
-41.53305015,147.8914091,1
-42.78370248,147.2092093,1
-43.13246762,147.1384114,1
-42.86667232,146.8728276,1
-42.9484927,147.3273494,1
-41.58333333,147.1166667,1
-42.11515149,148.2846556,1
-42.8897258,147.4762555,1
-42.72710991,146.8938781,1
-41.58333333,147.1166667,1
-42.66516172,147.5513507,1
-42.68332,146.71665,1
-43.16478104,146.9177269,1
-42.05349369,146.5421296,1
-41.8151616,147.4013391,1
-41.64450216,147.7338379,1
-41.8318292,147.43467,1
-42.75857986,146.849829,1
-42.73943931,147.5303718,1
-42.66516953,146.7846968,1
-43.13938976,147.2177958,1
-42.68169547,146.6840147,1
-42.58182968,148.0513372,1
-42.66517114,147.3346814,1
-42.33184456,146.5013597,1
-41.53766849,147.8764873,1
-41.61957857,147.757562,1
-42.90580664,147.2766904,1
-42.12541808,148.2983041,1
-42.92245771,147.2874865,1
-42.9484927,147.3273494,1
-43.04687996,147.2369657,1
-43.05974602,147.0313155,1
-42.63773909,146.7537616,1
-42.58182968,148.0513372,1
-41.59395696,146.6657838,1
-42.06695177,146.5293412,1
-41.45,147.16666,1
-42.88193,147.32304,1
-42.95,147.35,1
-42.86,147.45,1
-42.22388,146.80888,1
-42.81,147.15,1
-42,146.5,1
-42.51,147.91,1
-41.4,147.3,1
-41.53,146.83,1
-42.22388,146.80888,1
-42.78,147.52,1
-42.81,147.15,1
-41.53,146.83,1
-41.65,147.33332,1
-41.65,147.33332,1
-43.14,147.25,1
-41.53,146.83,1
-42.79,147.25,1
-41.76,147.35,1
-41.53,146.83,1
-42,146.5,1
-41.53,146.83,1
-41.4,147.3,1
-41.53,146.83,1
-41.53,146.83,1
-42.05,146.7,1
-42.74,147.44,1
-41.45,147.166667,1
